id,engine,car
102,K9K Euro 5,Renault Grand Scenic III
103,K9K Euro 5,Renault Laguna
104,K9K Gen6,Dacia Lodgy
105,K9K Gen6,Renault Megane
106,K9K Gen6,Mercedes A 180 CDI
107,K9K Gen6,Mercedes B 180 CDI
108,K9K Gen6,Mercedes Citan 108 CDI
109,K9K Gen6,Mercedes Citan 109 CDI
110,K9K Gen6,Mercedes Citan 111 CDI
111,Lynx,Ford Focus
112,Lynx,Ford C-Max
113,Lynx,Ford Turneo Connect
114,Lynx,Ford Galaxy
115,Lynx,Ford Mondeo
116,Lynx,Ford S-Max
117,Lynx,Ford Transit
118,VW Common Rail,Audi A1 / A1 Sportback
119,VW Common Rail,Audi A3 / A3 Sportback
120,VW Common Rail,Seat Altea / Altea XL
121,VW Common Rail,Seat Ibiza / Ibiza Sportcoupe
122,VW Common Rail,Seat Leon
123,VW Common Rail,Seat Toledo
124,VW Common Rail,Skoda Fabia
125,VW Common Rail,Skoda Octavia
126,VW Common Rail,Skoda Roomster / Roomster Praktik
127,VW Common Rail,Skoda Superb
128,VW Common Rail,Skoda Yeti
129,VW Common Rail,Volkswagen Beetle
130,VW Common Rail,Volkswagen Polo
131,VW Common Rail,Volkswagen Golf / Golf Plus
132,VW Common Rail,Volkswagen Jetta
133,VW Common Rail,Volkswagen Passat / Passat Variant
134,VW Common Rail,Volkswagen Passat Touran
135,Puma,Ford Ranger
136,Puma,Mazda BT-50
137,Puma,Ford Turneo Custom Bus
138,Puma,Ford Transit
139,Puma,Citroën Jumper
140,Puma,Peugeot Boxer
141,Puma,Land Rover Defender
142,LionV8,Land Rover Freelander
143,LionV8,Range Rover Sport
144,LionV6 Upgrade,Land Rover Discovery
145,LionV6 Upgrade,Land Rover Freelander
146,LionV6 Upgrade,Range Rover Sport
147,LionV6 Upgrade,Jaguar X Type
148,LionV6,Citroën C5
149,LionV6,Citroën C6
150,LionV6,Jaguar S-Type
151,LionV6,Jaguar XF
152,LionV6,Peugeot 407
153,LionV6,Peugeot 607
154,LionV6,Landrover Discovery
155,LionV6,Range Rover Sport
